"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 04 17:06:19 CST 2020","Fri Dec 04 17:06:19 CST 2020","157","","Test_baidu","baidu_test","","","test_wudi",""
"passed","Fri Dec 04 17:06:19 CST 2020","Fri Dec 04 17:06:19 CST 2020","247","","Test_baidu","baidu_test","","","test_setup_class",""
"passed","Fri Dec 04 17:06:19 CST 2020","Fri Dec 04 17:06:19 CST 2020","0","","Test_baidu","baidu_test","","","test_setup",""
